MamaMiaPizzeria,1,6
MamaMiaPizzeria,2,5
MamaMiaPizzeria,3,3
MamaMiaPizzeria,4,4
MamaMiaPizzeria,5,6
MamaMiaPizzeria,6,5
MamaMiaPizzeria,7,3
MamaMiaPizzeria,8,7
MamaMiaPizzeria,9,5
MamaMiaPizzeria,10,7
MamaMiaPizzeria,11,3
MamaMiaPizzeria,12,2
MamaMiaPizzeria,13,6
MamaMiaPizzeria,14,7
MamaMiaPizzeria,15,5
phranz,1,6
phranz,2,5
phranz,3,3
phranz,4,7
phranz,5,5
phranz,6,5
phranz,7,6
phranz,8,4
phranz,9,5
phranz,10,6
phranz,11,6
phranz,12,6
phranz,13,7
phranz,14,7
phranz,15,6
a_stranger,1,3
a_stranger,2,2
a_stranger,3,4
a_stranger,4,5
a_stranger,5,5
a_stranger,6,6
a_stranger,7,4
a_stranger,8,5
a_stranger,9,4
a_stranger,10,5
a_stranger,11,4
a_stranger,12,3
a_stranger,13,6
a_stranger,14,4
a_stranger,15,4
huibuh,1,6
huibuh,2,5
huibuh,3,6
huibuh,4,3
huibuh,5,7
huibuh,6,7
huibuh,7,4
huibuh,8,5
huibuh,9,5
huibuh,10,7
huibuh,11,7
huibuh,12,6
huibuh,13,6
huibuh,14,6
huibuh,15,4
Aragorn,1,6
Aragorn,2,5
Aragorn,3,2
Aragorn,4,4
Aragorn,5,6
Aragorn,6,5
Aragorn,7,7
Aragorn,8,5
Aragorn,9,5
Aragorn,10,4
Aragorn,11,6
Aragorn,12,6
Aragorn,13,7
Aragorn,14,6
Aragorn,15,5
EM2021,1,2
EM2021,2,3
EM2021,3,4
EM2021,4,3
EM2021,5,3
EM2021,6,3
EM2021,7,2
EM2021,8,4
EM2021,9,3
EM2021,10,3
EM2021,11,4
EM2021,12,2
EM2021,13,2
EM2021,14,2
EM2021,15,3
janita,1,1
janita,2,1
janita,3,1
janita,4,1
janita,5,1
janita,6,1
janita,7,1
janita,8,1
janita,9,1
janita,10,1
janita,11,1
janita,12,1
janita,13,1
janita,14,1
janita,15,1
