;overall;adverb;article;auxverb;conj;ipron;negate;negemo;posemo;ppron;prep
count;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0
mean;0.7799697555750557;0.7859253402553553;0.7684505262164429;0.8589701135602263;0.843843106035264;0.7108610952360161;0.6603070722101384;0.5761930400685058;0.736692135429432;0.8207903415926622;0.7906104494943405
std;0.12179610094402359;0.24006801056535573;0.2398881775204025;0.12096257750901183;0.18088461609223952;0.3260619802774525;0.3262031737421634;0.3762249425420237;0.23655427872432946;0.15779378951161574;0.24856456812188862
min;0.4269385114194173;0.0;0.0;0.4376108811354228;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.7135550621797517;0.7396940982188496;0.7135002376887715;0.8331162093511204;0.8198730766301037;0.6293980939902983;0.5240946045824093;0.31331346249379033;0.6666666666666667;0.7873837444399515;0.776241134751773
50%;0.8364619425110564;0.8770353733857383;0.8470764617691154;0.8810735770476631;0.9041591320072333;0.8440221694378465;0.7916666666666667;0.6923076923076923;0.7916083916083916;0.8574040219378428;0.8760226557583386
75%;0.8679001020388751;0.9428319827691121;0.9188743136295502;0.9358056223710489;0.9422316279069767;0.9397369976490665;0.9255722134127784;0.9045496263275207;0.875829807725381;0.9073468370829907;0.9436471606755902
max;0.915463384569491;1.0;0.9994941831057157;0.9988331388564761;0.9997392438070405;1.0;1.0;1.0;0.9971428571428572;0.9889415481832544;1.0
