Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
a_stranger;Ja wirklich praktisch. Ich merke aber auch dass ich zuhause viel aufschiebe weil es immer irgendwas zu tun gibt. Hi! So zwei bis drei tage Büro die Woche ist genug. Ging das jetzt automatisch los? Ich hoffe ich hab dich nicht warten lassen... Ja bin gerade im Meeting nur am Zuhören, da kann man schon mal das Chatten anfangen. Ganz auf Home.office verzichten möchte ich aber nicht mehr. Ich fand Home office die ersten Monate super, aber inzwischen freue ich mich auch demnächst wieder ins Büro zu können. Hast du hier schonmal gechattet? Ich hatte es irgendwie immer im Hinterkopf aber nie gemacht. Bist du auch komplett im Home office? Ja sonst alles gut. Seit 6 Uhr haben mich die Katzen nicht mehr schlafen lassen, daher recht müde. Aber gerade das letzte Meeting für heute, danach habe ich nur noch entspannte Arbeit. Zwei Katzen. Ja, die beiden haben konstanten Hunger und lassen mich oft nicht in Ruhe. Aber ist ganz schön im Home office Gesellschaft zu haben.;168;7,54;23,20;99,00;62,78;9,33;54,17;13,69;8,93;7,14;0,00;1,79;1,79;0,00;0,00;0,00;0,00;0,00;2,98;4,76;8,93;11,90;8,93;12,50;2,98;5,36;3,57;1,79;0,00;0,00;1,19
turtleneck;Bist du lieber im Home office oder vor Ort? Ich hätte auch gerne Katzen, habe Kaninchen, aber die brauchen nicht so viel Aufmerksamkeit. Momentan bin ich auch im Home office aber da ja ab dem 1.07 die offizielle Regelung kippt ist das für die nächste Woche unklar. Hey. Ich würde gerne noch bleiben, leider muss ich sonst immer eine Stunde oder so fahren. Ganz ohne möchte ich auch nicht mehr, maximal zwei Tage wären okay. Ich schaffe einfach so viel mehr im Home office, man kann mal Pakete annehmen und sonst was. Oh, das kam zu spät. So ein paar Mal schon, der Timer ist allerdings neu. Und du? Oh, ist hier tatsächlich gerade ähnlich. Ja, vielleicht weil ich schon vorher auf Matchen geklickt habe und kann kamst du irgendwann. So früh schon jemand hier. Wieviele Katzen hast du denn? Die hatten doch bestimmt Hunger oder wollten Aufmerksamkeit.. Na dann, alles sonst gut bei dir? Noch müde?;158;9,06;32,29;90,34;80,35;9,29;55,06;11,39;7,59;4,43;0,00;3,16;3,16;0,00;0,00;0,00;0,00;0,00;2,53;6,33;6,96;11,39;6,33;17,72;1,90;5,06;3,80;1,27;0,00;0,00;1,27
