Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Kaesetoast;Hi! Wie geht es dir?  Ja.... warm trifft es ganz gut. Wirst du am Wochenende was dagegen unternehmen? Freibad oder so? Ein Pool ist toll. Ich überlege noch, welches Nass ich mal aufsuchen kann.  Aber ich werde wohl dieses Wochenende grillen gehen. Vielleicht bauen wir ein kleines Planschbecken für die Füße auf. Da solltest du vielleicht tatsächlich schnell sein. Das könnte wirklich gut sein Letztes Jahr sind die doch auch schon teilweise teuer geworden, oder? Was muss man da denn beachten?;81;1,00;74,85;68,81;99,00;6,23;65,43;20,99;11,11;3,70;1,23;3,70;3,70;0,00;0,00;2,47;2,47;0,00;8,64;7,41;4,94;16,05;9,88;16,05;0,00;6,17;6,17;0,00;0,00;0,00;0,00
dude123;"Aktuell ist es viel zu warm.  Und bei dir? Bin am Wochende zu Besuch bei meinen Eltern. Die haben einen Pool. Darin wird es sich aushalten lassen. Und selbst? Ich werde mir auf lange sich wohl eine Klimaanlage zulegen. Ich frage mich, ob ich mich dafür beeilen muss. Nicht das alle eine haben wollen und die Preis an die Decke gehen. Da habe ich das nicht so beobachtet. Bin mir aber noch unschlüssig über die Größe. ";76;6,70;21,25;99,00;82,27;6,91;75,00;23,68;15,79;11,84;0,00;1,32;1,32;0,00;0,00;0,00;0,00;0,00;5,26;13,16;13,16;18,42;5,26;13,16;2,63;5,26;3,95;1,32;0,00;0,00;0,00
