Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Aragorn;Ich lebe nicht vegetarisch, versuche aber meinen Fleischkonsum zu reduzieren. Vor allem beim Einkaufen fällt es mir etwas leichter auf fleischhaltige Lebensmittel zu verzichten. Mit dem Start der Grillsaison fliegen aber alle meine Grundsätze oft davon. Dann sind wir wieder bei der deutschen Leitkultur mit Bratwurst und Nackensteak.;48;64,06;22,91;99,00;17,39;12,00;56,25;18,75;10,42;8,33;2,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,33;6,25;18,75;8,33;4,17;12,50;2,08;4,17;2,08;2,08;0,00;0,00;2,08
Kaesetoast;Ich bin nicht vegan, versuche aber, vegetarisch zu leben. Und du?  Einkaufen finde ich auch leichter. Aber die vegetarischen Gerichte in Restaurants finde ich meistens langweilig.  Bratwurst finde ich ja eklig. Aber Hühnchen.... .;33;13,74;2,76;99,00;17,39;5,50;48,48;15,15;15,15;12,12;0,00;3,03;3,03;0,00;0,00;0,00;0,00;0,00;0,00;3,03;6,06;6,06;3,03;15,15;3,03;6,06;3,03;3,03;0,00;0,00;0,00
