Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
huibuh;Hi. Wie gehts? Nach Pilates, ok? Hallo? Welche Sorte magst du am liebsten ? 8. Tschüss!;15;89,07;99,00;30,36;99,00;2,14;40,00;20,00;6,67;0,00;0,00;6,67;6,67;0,00;0,00;0,00;0,00;0,00;13,33;6,67;13,33;6,67;0,00;6,67;0,00;26,67;20,00;0,00;0,00;0,00;0,00
jonathan;Hi. Ganz gut. Ich glaube ich möchte gleich ein Eis essen gehen. Ok! Wie viele Kugeln darf ich?;18;13,74;15,94;99,00;99,00;3,60;44,44;16,67;16,67;16,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,56;0,00;11,11;5,56;5,56;0,00;11,11;11,11;0,00;0,00;0,00;0,00
