Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
albola;Kannst du ein bisschen Japanisch?  Hallo!  Wie hat die Woche für dich angefangen?  Wenn Corona nicht wäre und du nächsten Monat Urlaub hättest wo ginge es hin? War den Montag über ziemlich müde, aber heute sieht es schon besser aus. oh, der soll ja auch wunderschön sein!  Ende Juli geht es für eine Woche nach Italien. Hast du noch keinen Urlaub geplant? Oh nein, das ist noch eine lange Durststrecke! Italien heißt dann für uns Sonne, Weinberge und Kultur. Sowohl als auch .;82;7,09;78,44;82,86;78,50;7,45;59,76;13,41;7,32;0,00;1,22;4,88;4,88;0,00;0,00;1,22;1,22;0,00;4,88;8,54;8,54;13,41;6,10;17,07;3,66;4,88;3,66;1,22;0,00;0,00;1,22
turtleneck;Na dann perfekt. Ich war einmal am Gardasee, aber das ist schon länger her. Hey. Gerne nach Japan, aber da müsste ich die Sprache besser lernen. Montage sind bestimmt immer schlimm. Ich hätte so gerne Urlaub oder mal ne Pause. Hast du bald Urlaub? Och ganz okay, ein bisschen stressig und ein zu kurzes Wochenende. Und bei dir? Oh also auch ein Weinfan? Oder eher der ästhetische Anblick? Kann ich momentan leider arbeitstechnisch nicht. Aber so im September wieder. Italien klingt gut! Eher Strand und Sonnen oder lieber was anderes?;90;24,03;25,34;98,18;98,57;6,00;53,33;10,00;6,67;4,44;0,00;2,22;2,22;0,00;0,00;0,00;0,00;0,00;2,22;8,89;5,56;7,78;6,67;17,78;2,22;11,11;7,78;3,33;1,11;0,00;2,22
