Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Kaesetoast;Hallo. Das sollte eine goldene Regel sein! Vielleicht sollte man da eine Art absprache in Abteilungen treffen, dass regelmäßiger Kuchen in diese Räumlichkeiten gelangen. Das stimmt natürlich! Wobei berufliche Kaffeeküchen ein bisschen an ihrem Kuchenangebot arbeiten könnten.... Lieber abends Cocktails trinken oder zwischendurch einen Kaffee?  Jaaa! Da nimmt man auch die Lautstärke in Kauf. Jetzt kann man ja auch endlich wieder raus.  Ich werde das einfach mal als Plakat in unsere Küche hängen.... Mal sehen, ob sich Leute aus Unsicherheit oder Unwissenheit einfach mal dran halten. Wobei ich da mitten in der Dortmunder innenstadt vielleicht auch etwas privilegiert bin. Brauche zu fast allen Sachen meines tägliche Lebens nie länger als 20 Minuten. Das Reduzieren von Alternativen finde ich gut! Hab ich auch gemacht mit dem Auto.  Aber vielleicht ist für eine abgelegene Wohngegend so etwas Car Sharing ja gut. Das eigene Auto braucht man ja auch nicht 247. Möchtest du über das schöne Beispiel reden oder ein anderes Thema? Ja, das steht überall. Das stimmt. Vielleicht ist permanente Bewusstmachung auch gar nicht so gut, weil man potentiell mehrdeutige Aussagen immer etwas vorbewertet. Hab das gemerkt, als ich mich intensiv mit Sexismus auseinandergesetzt habe. Auf einmal hab ich alles daran gemessen und das war nicht so ganz gesund .;207;3,03;36,51;78,51;86,75;9,00;57,49;17,39;6,28;3,86;0,48;0,48;0,48;0,00;0,00;0,97;0,97;0,48;6,28;9,18;9,18;8,70;11,11;19,32;1,93;3,86;3,38;0,48;0,48;0,00;0,00
isso;Nice! Funktioniert sehr zuverlässig, dieses System. Hi! Ich habe in einem Studiprojekt mal kennen gelernt jeder git commit, der nicht kompiliert, gibt einen Kuchen. Haha. Haben wir denselben Prompt erhalten? Hier steht Was heißt für dich bewusst leben? Lieber Cocktails, Kaffee gibt es ja auch zuhause und im Büro. Kultur, dies das. Ja, auf jeden Fall. Finde Innenstädte aber auch einfach super. Einfach mal hier und da einen Kaffee trinken gehen, Bierchen vom Kiosk, alles um die Ecke. Für mich funktioniert es sehr gut, Alternativen zu reduzieren. Kein Auto vor dem Haus? Dann muss man einfach das Rad oder die öffentlichen Verkehrsmittel nutzen. Ja, da wird die Wohnlage dann entsprechend wichtig. Ich bin dadurch auch immer auf Innenstadtlage angewiesen. Ohne sich mit ständig neu bewussten Entscheidungen zu quälen. Ach, prima. Ja, was soll das heißen? Ich glaube, man hat sehr viel davon, sich bewusst für diesen oder jenen Lebensstil zu entscheiden. Aber permanente Bewusstmachung ist einfach nur anstrengend. Dann sehen wir am Plakat, ob wir uns kennen.  wohne auch in Dortmund.;171;29,15;70,98;58,40;76,37;7,12;53,80;18,13;7,02;2,34;2,34;0,58;0,58;0,00;0,00;0,58;0,58;0,00;9,94;7,02;11,11;6,43;6,43;14,04;1,75;7,02;4,68;2,34;0,58;0,58;1,17
