Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Hermelin;ja, das mag sein. die frage ist, ist das schlecht? ich spiele gern keyboard, aber digital wird halt alles. also bin ich dem auch nicht abgeneigt. war nett zu plaudern. also ich finde es auch eher schlecht. aber im grunde sollte kunst frei heraus kommen und nicht erzwungen es gibt so ein paar webseiten auf denen man selber aufzeichnen und mischen kann, das ist ganz lustig. ich finde es ja toll, wenn man als künstler sich und seine familie ernähren kann. aber auch das schreiben ist ab und an ganz entspannend ja, ich tobe mich manchmal etwas aus. mehr kann man das nicht nennen. wie siehts bei dir aus? also ein album gemacht wird, damit es in der kasse klingelt. naja, wenn geld der anlass ist für kunst zum Beispiel. ja, schon. aber gefallen hat mir der nicht. wenn kunst kommerzialisiert wird, ist das schlecht? was machst du denn dann digital? zeichnen? ja, und selbst? hey.;156;3,34;48,28;13,77;99,00;7,80;61,54;18,59;7,69;4,49;0,00;1,28;1,28;0,00;0,00;1,28;1,28;0,00;6,41;8,33;9,62;13,46;5,77;17,31;2,56;10,26;7,69;2,56;0,64;0,00;1,92
huibuh;Das kann ja noch werden! Genau . Ich werde mich jetzt tatsächlich an digitaler Kunst versuchen. Dasist ja cool! Musikalisch bin ich leider gar nicht begabt und finde das bei anderen immer sehr schön.  Hast du schon mal einen eigenen Song produziert? Hi. Ich denke, wenn man Kunst aus einem Wunsch der reinen Expression kreiert ist das auch für den Künstler viel schöner. Bist du in deiner Freizeit kreativ? Dann stimmen wir ja überein . Und dann ist seine oder ihre Kunst auch viel facettenreicher. Ich würde sagen ja. Darunter leiden Qualität und Sinn der Arbeiten. Was meinst du? Ich denke, dass kann man bei vielen Künstlern schon beobachten, gerade nach dem Wachstum von sozialen Medien. Aber ist es das nicht häufig schon?  Kommst ganz drauf an, wie man kommerzialisieren definiert. Auch, danke. Alles gut? Oh, cool. Womit denn? Aquarell, Kreide, digital? Tschüss!;141;7,77;62,66;74,89;99,00;6,13;54,61;18,44;9,93;4,26;0,71;2,84;2,84;0,00;0,00;2,13;2,13;0,71;6,38;7,09;7,09;9,22;7,09;14,18;1,42;11,35;9,93;1,42;0,00;0,00;1,42
