Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
maja;hey. Das passiert. Wie geht es dir so? ganz schön warm... Veganes Eis? Wir müssen ja irgendwie zum Thema kommen.;20;3,11;99,00;5,67;99,00;3,33;50,00;20,00;10,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;5,00;10,00;15,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
turtle;hallo. Ich habe echt etwas lange gebraucht um mich einzuloggen, heute ist wohl nicht mein Tag. Oh ja...ich habe mir schon extra Eis geholt.;25;1,00;2,50;99,00;99,00;8,33;56,00;24,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;16,00;16,00;4,00;4,00;8,00;8,00;0,00;0,00;0,00;0,00
