Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Kaesetoast;Hi! Bist du vegan? Wieso Gesundheit? Gab es da einen speziellen Grund? Irgendwie haben wir jetzt zwei Gespräche . Und deine Motivation? Umwelt schonen und Tiere nicht auszubeuten. Stimmt. Was möchtest du denn für Smalltalk halten? Und hat es dir geholfen? Ich nicht, aber ich stelle meine Ernährung gerade auf Veggie um und gewöhne mich immer mehr an Sachen wie Hafermilch, um auch vegan zu werden. Wird ja vorgeschlagen .;68;1,56;78,50;93,32;54,11;5,67;55,88;19,12;13,24;5,88;1,47;5,88;5,88;0,00;0,00;0,00;0,00;0,00;5,88;1,47;8,82;10,29;4,41;16,18;2,94;1,47;1,47;0,00;0,00;0,00;0,00
huibuh;Ja, genau. Ich hatte viele Allergien und war oft müde, et cetera. Letzte Woche war das Wetter ganz aktuell. Man kann ja trotzdem erst mal Smalltalk machen . Das ist ja ein schneller Einsteig. Ja und du? Das ist eine gute Motivation . Meine war am Anfang eher die eigene Gesundheit und jetzt mittlerweile aber auch sehr das Tierwohl und die Umwelt. Hi!  Cool . Was ist denn deine Motivation dafür?;68;3,37;59,90;34,89;98,49;6,18;55,88;14,71;5,88;2,94;0,00;2,94;2,94;0,00;0,00;0,00;0,00;0,00;2,94;13,24;2,94;11,76;10,29;19,12;0,00;7,35;5,88;1,47;0,00;0,00;1,47
