Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
ChatterBot;Hallo? Jemand da? Also wenn es mal wieder so richtig safe ist, freue ich mich auf Konzerte. Und bei dir? Ja oder man ist gedanklich auch irgendwie nicht 100 bei der Antwort... Okay. Handy Kann ich gut nachvollziehen, ich lege es auch gerne mal weit weg ehrlich gesagt. Es gibt Tage, da könnte man nur hin und her schreiben... Sieht man irgendwo, ob der andere gerade schreibt? Bei mir jedenfalls nicht, oder ich sehe es nicht . Ich habe schon ewig nicht mehr gechattet... Wie sieht das bei dir aus? Okay. Cool, dann bist du in Übung würde ich sagen. Es scheint mir eh etwas verzögert zu sein, bis die Anzeige kommt. Wann steht denn die Mittagspause für dich heute an? Dann ist die Frage ja beantwortet. Erst so gegen 13 Uhr. Ist noch ein wenig hin... .;136;1,56;44,35;99,00;99,00;7,16;63,97;19,12;10,29;6,62;0,00;2,94;2,94;0,00;0,00;0,74;0,74;0,00;8,09;5,15;9,56;10,29;9,56;15,44;2,94;5,88;5,88;0,00;0,00;0,00;0,00
Sloth;Oh nein, halt durch.  Ich chatte normalerweise auch mit meinen Freunden, aber ich ich lasse mir beim antworten auch gerne viel Zeit. Immer direkt zu antworten und die ganze Zeit auf mein Handy starren ist mir zu stressig. Bei mir wäre es reisen ohne so viele Einschränkungen und dass man alles drei mal nachschauen muss. Ich glaube so um 1230 und bei dir? Ich würde auch sagen, dass ich in Übung bin.  Ich glaube nicht, dass man sehen kann ob der andere gerade schreibt aber sicher bin ich mir hier nicht. Ja... das ist irgendwann auch nicht mehr schön und wenn ich so viel hin und her schreibe geht irgendwann meine Produktivität flöten.  WIr haben nicht mehr viel Zeit aber, was ist denn eine der ersten Sachen die du nach der COVID19 Krise machen möchtest? Hallo! Genau das habe ich mich auch gefragt.  Bis dann! .;145;1,00;10,33;99,00;84,51;11,15;64,14;20,00;14,48;12,41;0,69;1,38;1,38;0,00;0,00;0,00;0,00;0,00;4,14;5,52;9,66;12,41;2,07;20,69;4,14;5,52;4,14;1,38;1,38;0,00;0,00
