Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Leroy;Vor allem Schweinerücken. Ich glaub ich hab keins, ich esse ne Menge Sachen sehr gerne. Wenn ich mich festlegen müsste Lasagne. Nicht besonders. Wobei man dazu sagen muss, dass ich noch nie echtes asiatisches Essen gegessen habe. Auch Gemüse! Und deins? Mehrfach. Hast du denn schon gegrillt? Wenn man kein Fleisch ist undoder keinen Wert auf Feuer als Garmethode legt, dann lässt sich das aber auch echt gut durch einen Backofen ersetzen. Curry ist ja eine ganze Gruppe von Gerichten. Magst du ein Bestimmtes Curry gern? Und selbst? Gut Hi. Das ist sogar sehr schön.;95;1,00;21,52;22,99;99,00;6,33;54,74;18,95;9,47;6,32;0,00;2,11;2,11;0,00;0,00;0,00;0,00;0,00;7,37;6,32;5,26;8,42;8,42;15,79;5,26;10,53;10,53;0,00;0,00;0,00;0,00
huibuh;Hmm, grünes Thai Curry. Mit extra Tofu. Ja, das stimmt. Bei uns gibt es öfter Ofengemüse. Magst du asiatisches? Oh, lecker! Ich esse gerne Asiatisch, also Curry vielleicht. Hi. Nein, ich habe leider keinen Grill. Aber Lust hätte ich schon. Nicht so super. Super! Was gab es da denn? Hast du denn dieses Jahr schon gegrillt? Schön, dass es jetzt nicht mehr so heiß ist. Oder was meinst du? Schön, auch . Wie geht es dir? Was ist denn dein Lieblingsgericht? Dann solltest du das vielleicht mal .;86;1,00;84,06;5,95;99,00;4,30;60,47;24,42;11,63;3,49;1,16;6,98;6,98;0,00;0,00;0,00;0,00;0,00;10,47;2,33;2,33;11,63;6,98;18,60;4,65;11,63;10,47;1,16;0,00;0,00;1,16
