Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
SugarDaddy1977;Dieses Hintergrundbild mit den ganzen Fast foodS achen und Süßigkeiten mach mich irgendwie hungrig... Heyho, bist du vegan? Ich nicht. Wenn ich selber was mache, dann eher bodenständiges Zeugs. Versuche, zu reduzieren, bewusster kaufen und so. Ganz verzichten jedoch gelingt mir noch nicht. Milch habe ich immerhin reduziert von 4 Liter die Woche auf knapp über 1 Liter. Ansonsten halt der Versuch, möglichst nichts zu kaufen, was aus Massenhaltung und so stammt. Damals gab es Wok Man in der Innenstadt, da habe ich immer gebratene Nudeln gegessen. Schwer zu sagen. Eine sehr gut gemachte Pizza hat schon was.;98;21,88;18,65;96,06;69,39;8,91;54,08;13,27;7,14;6,12;0,00;1,02;1,02;0,00;0,00;0,00;0,00;0,00;6,12;5,10;9,18;7,14;10,20;11,22;3,06;6,12;4,08;2,04;0,00;0,00;2,04
huibuh;Also ich esse auch gerne mal Asiatisch. Welche Sorte? Ah ok. Eher so was wie Pizza und Spaghetti oder eher was ausgefalleneres? Hi. Ja, das ist glaube ich wichtig. Die Bedingungen sind da wirklich nicht so toll für die Tiere. Da habe ich schon einige Dokumentationen gesehen. Das ist doch super. Man muss ja nicht direkt auf alles verzichten. Kleine Schritte reichen ja für den Anfang. Wieso du nicht? Ich schon. Haha, ja das kann ich verstehen. Ich habe zum Glück schon was gegessen. Was ist denn dein Lieblingsgericht? Die sind auch lecker .;93;1,00;22,98;51,55;99,00;5,47;56,99;19,35;8,60;6,45;0,00;2,15;2,15;0,00;0,00;0,00;0,00;0,00;7,53;7,53;4,30;12,90;4,30;16,13;3,23;11,83;10,75;1,08;0,00;0,00;1,08
