Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Apfel1;"Hallo. Hast du dir Cross Fit online angeschaut oder bist du in ein Studio gegangen? Hast du einen Lieblingssport? Ja auf jeden Fall. Fussball ist seit ein paar Wochen wieder erlaubt.  Am liebsten spiel ich Fussball, aber das war ja in den letzten Monaten nicht so gut umsetzbar . Ansonsten gehe ich viel Laufen. Inzwischen darf man ja auch wieder Sport in der Gruppe machen. Und du? War ja sonst immer sehr trocken und heiß. Ja, konnte ich auf jeden Fall. War viel mit Freunden draußen und habe Sport an der frischen Luft gemacht. Ja, das stimmt. Ja, auch wenn das Wetter ein bisschen schlecht ist. Und bei dir? Aber ich glaube, der Regen ist nach den letzten heißen Jahren mal ganz gut für die Pflanzen. Ach, cool. ";127;55,05;77,98;86,54;90,18;7,47;54,33;13,39;7,87;3,15;0,00;4,72;4,72;0,00;0,00;0,00;0,00;0,00;3,15;11,02;9,45;12,60;3,15;13,39;0,79;9,45;6,30;3,15;0,00;0,00;3,15
huibuh;Das stimmt auch wieder. Nicht, dass wir hier bald auch in der Wüste sitzen. Konntest du denn das Wetter nutzen, als es noch besser war? Tschüss! Das hört sich gut an . Draußen war ich noch nicht so viel, ich hatte Probleme mit Allergien, aber ich war tatsächlich auch schon beim Sport. Was für Sport machst du denn gerne? Auch, danke. Es ist echt ganz schön kalt geworden, als wäre der Sommer schon wieder vorbei. Ah, cool! Dann kann das  jetzt aber wieder so richtig losgehen, oder? Alles gut bei dir? Cool . Ich mache hauptsächlich Yoga und Pilates. Ich habe mir auch kurz ein bisschen Cross Fit angeguckt, also mehr funktionelles Training und mit Gewichten, das hat mir auch Spaß gemacht. Hi. Ich war im Studio und hatte ein Personal Training.;130;1,00;41,56;87,15;99,00;7,65;59,23;16,92;10,00;6,15;0,77;2,31;2,31;0,00;0,00;0,00;0,00;0,00;3,08;6,92;7,69;12,31;8,46;22,31;1,54;10,77;10,00;0,77;0,00;0,00;0,00
