Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
Apfel1;Ist jetzt schon jemand hier im Chat? Aber wir chatten immer nur zu zweit? Ja auf jeden Fall. Denk Deutschland wird mit der Leistung auch gegen Ungarn gewinnen. Bist du Fussballfan? Ja die kam sogar für mich überraschend, obwohl ich eigentlich viel Fussball schaue. Da hat Corona die EM etwas überstrahlt, was die Afmerksamkeit in den Medien angeht.  Ja ich glaube schon. Aber es gibt immer noch Streit, ob Japan Zuschauer zulässt oder nicht. Oder ob nur geimpfte Zuschauer zugelassen sind.;81;35,36;37,51;99,00;17,39;8,10;51,85;12,35;6,17;3,70;1,23;1,23;1,23;0,00;0,00;0,00;0,00;0,00;6,17;6,17;11,11;8,64;8,64;13,58;1,23;4,94;2,47;2,47;0,00;1,23;1,23
SugarDaddy1977;Ja, ich. Das Deutschlandspiel war überraschend sehenswert. In der Tat. Eigentlich überhaupt nicht. Hatte auch gar nicht mehr die EM auf dem Schirm, bis circa 3 Tage vorher. Und Olympia soll auch stattfinden dieses Jahr?;35;19,20;7,87;76,11;17,39;5,83;57,14;8,57;2,86;2,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,86;11,43;8,57;17,14;5,71;14,29;5,71;0,00;0,00;0,00;0,00;0,00;0,00
