Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
huibuh;hi! Das habe ich noch nicht ausprobiert, super Tipp. Freut mich, wenn ich dir da helfen konnte. Tempeh ist super! Kann man auch gut würzen oder marinieren. In mein Chili mache ich auch immer ganze Zimtstangen für extra Geschmack. Für mehr Gemüse würde ich eher eine Suppe empfehlen. Eine Idee von mir wäre Chilli sin carne. Also Chilli mit tofu oder Tempeh. Da kenne ich mich aus! Oh je. Brauchst du noch ein bisschen Inspiration? Ich sage auch schon mal danke und bis zum nächsten Mal! Gericht ist vielleicht etwas übertrieben. Es wird wohl entweder eine selbst gebratene Gemüsepfanne oder ich gehe zu meinem Lieblingsrestaurant in meiner Nähe. Ja. Ich kann mich hoffentlich auf etwas leckeres zu essen freuen. Hast du denn schon eine Idee, was du kochen wirst? Dann ist ja alles super. Nicht so schön. Hast du denn trotzdem etwas, auf das du dich nach deinem Feierabend freuen kannst? Alles gut bei dir? Ist das Wetter bei dir auch so nass? Auch, danke!;165;1,00;50,65;95,45;99,00;6,88;63,64;21,82;15,15;9,09;0,00;6,06;6,06;0,00;0,00;0,00;0,00;0,00;4,85;4,85;10,30;11,52;7,88;16,97;1,21;10,91;10,91;0,00;0,00;0,00;0,00
isso;Am Feierabend habe ich noch nix spezielles vor. Aloha! Vielen Dank auf jeden Fall! Eine Prise Backkakao ist auch der Hammer im Chili. Alles ganz hervorragend. Dafür kaufe ich vielleicht direkt mit ein. Im Chili sicher supergeil. Und Chili mit Tempeh yeah! Ich habe Tempeh erst vor etwa einem Jahr kennen gelernt, weil mich die Idee mit der Fermentierung vorher immer skeptisch gemacht hat. Was für eine Verfehlung! Ja, eine Suppe ist super! Ja nice! Haha, da haben wir zeitgleich abgeschickt. Ofengemüse vielleicht? Oder was mit Kohl bei dem ungemütlichen Wetter. Wenn du was hast, gerne . Sollte aber möglichst vegan oder veganisierbar sein! Jip, ziemlich ungemütlich. Ne, und Einkaufen müsste ich dafür auch noch. Aber Gestern ein paar Freunde wiedergetroffen, die ich lange nicht gesehen habe. Die gute Laune wird mir kein Regen vernieseln können. Gemüsepfanne ist doch eine super Sache! Ich schätze, ich sollte mich heute auch noch darum kümmern, was zu kochen. Aber du weißt noch nicht, auf welches Gericht? Du? Und selbst? Bis denne!;167;20,14;27,48;67,73;99,00;6,19;57,49;14,37;9,58;5,99;0,60;1,80;1,80;0,00;0,00;1,20;1,20;0,00;5,39;8,98;11,38;11,38;8,38;14,37;2,99;10,18;7,78;2,40;0,00;0,60;1,20
