Source (A);Source (B);WC;Analytic;Clout;Authentic;Tone;WPS;function;pronoun;ppron;i;we;you_total;you_sing;you_plur;you_formal;other;shehe;they;ipron;article;prep;auxverb;adverb;conj;negate;affect;posemo;negemo;anx;anger;sad
grassroot;Haha wie lustig! . Ist das mit Chili wirklich gut? Aha, ich kenne nur diese Energy Balls, aber die isst man ja so . Ah ja okay, es gibt ja auch dunkle Schokolade mit Chili. Da passt das dann wahrscheinlich besser als nur mit Wasser.  Nein, davon habe ich noch nicht gehört. Was ist das? . Den trinke ich aber lieber nachmittags, der gibt mir so ein Gefühl von Cafe, weil er etwas besonderer ist. Ich bin immer etawas zu geizig, mir da welche zu kaufen, weil dann ein kleines Bällchen 1,20 Euro kostet oder so . Wir haben hier auch noch eine Chai Schwarztee Mischung mit leichtem Schokoladengeschmack, der ist auch lecker! Genau! Oh den kenne ich noch nicht. Ich halte mal danach Ausschau . Dann mach ich die lieber selber, auch wenn ich das bisher nur einmal gemacht habe . Anders ist nicht direkt gut . Den haben wir zuhause. Wenn der leer ist holen wir wieder eine andere Sorte Schwazrtee. Schwarzer Tee ist aber auch super . Das stimmt leider.  Oh Gott! Haha . Ich vergesse so schnell die Teebeutel und das ist schlecht beim Grünen Tee, der wird dann so bitter. Deswegen sind meine Favoriten eignetlich Kräutertees . Waren die denn wenigstens gut? Und selbst? Ganz gut soweit! Ich bin heute morgen etwas schlecht aus dem Bett gekommen, aber mit zwei Tassen schwarzem Tee ging es dann doch. Hallo . Zur Zeit Earl Grey. Ich hatte mal einen Tee mit Pfeffer und Chili und der war mir viel zu scharf.;243;3,55;27,24;58,93;99,00;8,10;56,79;14,40;7,82;6,17;1,23;0,00;0,00;0,00;0,00;0,41;0,41;0,00;4,12;9,88;6,58;11,52;7,00;21,40;1,65;9,05;7,00;2,06;0,00;0,41;1,65
huibuh;Ich hatte schon welche für 4 oder 5 Euro . Ich bin aber auch verrückt. Die selbst zu machen ist aber wirklich besser . Ja, also wenn man das mit Milch macht, schwächt die die Schärfe ja auch noch etwas ab. Bei den Energy Balls kommt es echt immer sehr drauf an. Manche sind mir da zu süß . Nicht alle . Hi! Das ist was anderes .  Ich bin voll der Superfood Fan und hole mir sowas ab und zu mal . Das ist quasi eine Mischungs aus Kakao und je nach Sorte noch mit Chilli oder Kurkuma und Orange, aber zu einer festen Kugel geformt. Die löst man dann in heißem Wasser oder heißer Milch auf und hat einen Kakao. Die sind ziemlich tauer, schmecken aber super . Ich habe den abends gerne getrunken, momentan mache ich mir aber öfter auch mal einen richtigen Kakao . Kennst du zufällig diese Elimba Kakao Ritual Kugeln? Finde ich gut . Ich kaufe meinen Tee meistens im Biomarkt, da gibt es immer eine super Auswahl und die haben auch alle viel Geschmack. Den kenne ich glaube ich auch! Das ist auch eine meine Lieblingsmischungen . Es gibt tatsächlich auch Earl Green, der schmeckt auch super . Also probierst du immer mal wieder einen anderen? Was für welchen trinkst du denn? Earl Grey oder einen anderen? Die sind auch lecker, machen aber nicht wach . Ich freue mich immer wieder, andere Tee Coinnosseure kennen zu lernen! Mir geht es etwas ähnlich. Für mich war es aber der grüne Tee! Wie geht es dir? Ja. Das ist dann dunkle Schokolade und etwas herber, aber nicht zu scharf. Tschüss!;263;9,23;22,98;94,90;99,00;8,48;61,98;20,91;8,37;6,84;0,00;1,52;1,52;0,00;0,00;0,00;0,00;0,00;10,65;9,89;8,75;8,37;5,70;17,87;1,14;7,22;6,84;0,38;0,00;0,38;0,00
